name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,Brand
Zabu,Public Identity,Good Characters,Green,Orange,Living Characters,234,Mar-65,1965,Marvel
Hippolyta,Public Identity,Good Characters,Blue,Black,Living Characters,231,"1987, February",1987,DC
Michael Morbius,Secret Identity,Neutral Characters,Red,Black,Living Characters,231,Oct-71,1971,Marvel
Julio Richter,Secret Identity,Good Characters,Brown,Brown,Living Characters,231,Jun-87,1987,Marvel
Joseph Wilson,Secret Identity,Neutral Characters,Green,Blond,Living Characters,229,"1984, May",1984,DC
Bernhard Baker,Secret Identity,Good Characters,Blue,Blond,Living Characters,229,"1965, September",1965,DC
Sylvester Pemberton,Secret Identity,Good Characters,Blue,Black,Deceased Characters,229,"1941, October",1941,DC
Phoenix Force,Secret Identity,Neutral Characters,,No,Deceased Characters,229,Oct-76,1976,Marvel
Megan Gwynn,Public Identity,Good Characters,Black Eyeballs,Pink,Living Characters,229,04-Nov,2004,Marvel
Jesse Chambers,Public Identity,Good Characters,Blue,Blond,Living Characters,228,"1992, August",1992,DC
Floyd Lawton,Secret Identity,Neutral Characters,Blue,Brown,Living Characters,227,"1950, June",1950,DC
Kyle Richmond,Secret Identity,Good Characters,Brown,Auburn,Living Characters,227,Oct-69,1969,Marvel
Mera,Public Identity,,Blue,Red,Living Characters,226,"1963, October",1963,DC
Karen Page,No Dual Identity,Good Characters,Blue,Blond,Deceased Characters,226,Apr-64,1964,Marvel
Tyrone Johnson,Secret Identity,Good Characters,Brown,Black,Living Characters,226,Mar-82,1982,Marvel
Tora Olafsdotter,Public Identity,Good Characters,Blue,White,Living Characters,225,"1988, April",1988,DC
Maxwell Dillon,Public Identity,Bad Characters,Blue,Auburn,Living Characters,225,Feb-64,1964,Marvel
Valerie Cooper,Public Identity,Good Characters,Blue,Blond,Living Characters,225,Dec-83,1983,Marvel
George Harkness,Secret Identity,,Brown,Brown,Living Characters,224,"1960, December",1960,DC
Anna May,No Dual Identity,Good Characters,Blue,White,Living Characters,224,Aug-64,1964,Marvel
Vlad Dracula,No Dual Identity,Bad Characters,Red,White,Living Characters,223,Mar-51,1951,Marvel
Amanda Waller,Public Identity,Good Characters,Brown,Black,Living Characters,222,"1986, November",1986,DC
Jonathan Crane,Public Identity,Bad Characters,Blue,Brown,Living Characters,222,"1941, September",1941,DC
Tandy Bowen,Secret Identity,Good Characters,Blue,Blond,Living Characters,222,Mar-82,1982,Marvel
Monet St. Croix,No Dual Identity,Good Characters,Brown,Black,Living Characters,221,Nov-94,1994,Marvel
Leonard Snart,Secret Identity,,Brown,Brown,Living Characters,219,"1957, June",1957,DC
Shiera Sanders,Secret Identity,Good Characters,Brown,Red,Living Characters,219,"1940, January",1940,DC
Maxwell Lord IV,Public Identity,Neutral Characters,Black,Brown,Living Characters,218,"1987, May",1987,DC
Jeb Stuart,Public Identity,Good Characters,Blue,Brown,Living Characters,218,"1961, May",1961,DC
Gamora,No Dual Identity,Neutral Characters,Yellow,Black,Living Characters,218,Jun-75,1975,Marvel
Amara Aquilla,Secret Identity,Good Characters,Blue,Blond,Living Characters,217,Oct-83,1983,Marvel
Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue,Black,Deceased Characters,216,"1987, September",1987,DC
Big Barda,Secret Identity,Good Characters,Blue,Black,Deceased Characters,216,"1971, October",1971,DC
Niles Caulder,Public Identity,Good Characters,Blue,Grey,Living Characters,214,"1963, June",1963,DC
James Corrigan,Secret Identity,Good Characters,Blue,Red,Deceased Characters,214,"1940, February",1940,DC
Samuel Bradley,Public Identity,Good Characters,Grey,Grey,Living Characters,213,"1937, March",1937,DC
Richard Tyler,Public Identity,Good Characters,Brown,Brown,Living Characters,212,"1985, November",1985,DC
James Ewell Brown Stuart,Public Identity,Good Characters,,Brown,Deceased Characters,212,"1961, May",1961,DC
Julia Carpenter,Secret Identity,Good Characters,Blue,Strawberry Blond,Living Characters,212,Oct-84,1984,Marvel
Jane Foster,No Dual Identity,Good Characters,Blue,Brown,Living Characters,211,Sep-62,1962,Marvel
Mortimer Toynbee,Secret Identity,Neutral Characters,Black,Brown,Living Characters,210,Mar-64,1964,Marvel
Scott Lang,Public Identity,Good Characters,Blue,Strawberry Blond,Living Characters,209,Mar-79,1979,Marvel
Todd Rice,Public Identity,Good Characters,Brown,Brown,Living Characters,208,"1983, September",1983,DC
Yz,Secret Identity,Good Characters,Red,,Living Characters,207,"1940, January",1940,DC
Paige Guthrie,Secret Identity,Good Characters,Blue,Blond,Living Characters,207,Nov-84,1984,Marvel
Matrix (Pocket Universe),Public Identity,Good Characters,Blue,Blond,Living Characters,206,"1988, April",1988,DC
Wolfgang Winks,Public Identity,Good Characters,,Black,Living Characters,206,"1942, November",1942,DC
Benjamin Parker,No Dual Identity,Good Characters,Blue,Brown,Deceased Characters,205,Aug-62,1962,Marvel
Erik Josten,Secret Identity,Good Characters,Brown,Red,Living Characters,204,Oct-65,1965,Marvel
Jeanne-Marie Beaubier,Secret Identity,Good Characters,Blue,Black,Living Characters,203,Apr-79,1979,Marvel
Carl Creel,Public Identity,Bad Characters,Blue,Bald,Living Characters,202,Apr-64,1964,Marvel
Gloria Grant,No Dual Identity,,Brown,Black,Living Characters,202,Jan-75,1975,Marvel
Michael Twoyoungmen,Public Identity,Good Characters,Brown,Black,Living Characters,200,Apr-79,1979,Marvel
Hope Summers,Secret Identity,Good Characters,Green,Red,Living Characters,200,08-Jan,2008,Marvel
William Glenmorgan,Public Identity,Good Characters,Blue,Black,Deceased Characters,199,"1940, June",1940,DC
Stephanie Brown,Secret Identity,Good Characters,Blue,Blond,Living Characters,198,"1992, August",1992,DC
Eric Masterson,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,198,May-88,1988,Marvel
Alexander Power,Secret Identity,Good Characters,Blue,Blond,Living Characters,197,Aug-84,1984,Marvel
Matthew Hawk,Secret Identity,Good Characters,Blue,Brown,Deceased Characters,195,Nov-62,1962,Marvel
Jessica Jones,No Dual Identity,Good Characters,Brown,Brown,Living Characters,195,Sep-63,1963,Marvel
Frederick Dukes,Public Identity,Bad Characters,Brown,Brown,Living Characters,194,Jan-64,1964,Marvel
Eric Brooks,Public Identity,Good Characters,Brown,Black,Living Characters,194,Jul-73,1973,Marvel
Eros,Public Identity,Good Characters,Blue,Red,Living Characters,193,Feb-73,1973,Marvel
Madison Jeffries,No Dual Identity,Good Characters,Brown,Black,Living Characters,193,Aug-83,1983,Marvel
Raymond Terrill,Secret Identity,Good Characters,Green,Red,Living Characters,192,"1992, February",1992,DC
Adam Blake,Public Identity,Good Characters,Hazel,Brown,Living Characters,191,"1951, June",1951,DC
Mandarin,Secret Identity,Bad Characters,Blue,Black,Deceased Characters,190,Feb-64,1964,Marvel
Kimiyo Hoshi,Secret Identity,,Black,Black,Living Characters,189,"1985, July",1985,DC
The Wizard,Public Identity,Bad Characters,Hazel,Brown,Living Characters,189,Nov-62,1962,Marvel
Akihiro,Secret Identity,Bad Characters,Blue,Black,Living Characters,189,06-Oct,2006,Marvel
Jack Ryder,Secret Identity,Good Characters,Blue,Black,Living Characters,188,"1968, April",1968,DC
Vandar Adg,Public Identity,,Brown,Black,Living Characters,188,"1943, December",1943,DC
Sergei Kravinoff,Public Identity,Bad Characters,Brown,Black,Deceased Characters,188,Aug-64,1964,Marvel
Jonothon Starsmore,Secret Identity,Good Characters,Brown,Brown,Living Characters,187,Nov-94,1994,Marvel
Justin Arthur,Secret Identity,Good Characters,Blue,Blond,Living Characters,184,"1941, September",1941,DC
Helmut Zemo,Public Identity,Bad Characters,Blue,Blond,Living Characters,184,Dec-73,1973,Marvel
Victor Borkowski,Secret Identity,Good Characters,Brown,Black,Living Characters,184,03-Aug,2003,Marvel
Max Mercury,Secret Identity,Good Characters,Blue,Grey,Living Characters,183,"1940, November",1940,DC
Abigail Arcane,Public Identity,Good Characters,Blue,White,Living Characters,182,"1973, January",1973,DC
Thomas Haukins,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,181,"1947, June",1947,DC
Edward Leeds,Secret Identity,Neutral Characters,Blue,Brown,Deceased Characters,181,Nov-64,1964,Marvel
Ultron,No Dual Identity,Bad Characters,Red,No,Deceased Characters,181,Jul-68,1968,Marvel
Douglas Ramsey,Secret Identity,Good Characters,Blue,Blond,Living Characters,181,Mar-84,1984,Marvel
Margaret Sawyer,Public Identity,,Blue,,Living Characters,180,"1987, April",1987,DC
Waylon Jones,Public Identity,Bad Characters,Red,,Living Characters,180,"1983, March",1983,DC
Travis Morgan,Public Identity,Good Characters,Blue,White,Deceased Characters,180,"1975, November",1975,DC
Quentin Beck,Secret Identity,Bad Characters,Blue,Bald,Living Characters,180,Jun-64,1964,Marvel
Gorilla Grodd,Public Identity,Bad Characters,Grey,Black,Living Characters,179,"1959, May",1959,DC
Herbert Wyndham,Secret Identity,Neutral Characters,Brown,Brown,Living Characters,179,Nov-66,1966,Marvel
Julian Keller,Public Identity,Good Characters,Blue,Black,Living Characters,179,03-Aug,2003,Marvel
Jack Russell,Secret Identity,Good Characters,Blue,Red,Living Characters,178,Feb-72,1972,Marvel
Talia al Ghul,Secret Identity,Bad Characters,Brown,Brown,Deceased Characters,177,"1971, May",1971,DC
Adam Strange,Public Identity,,Blue,Blond,Living Characters,177,"1958, December",1958,DC
Patrick Dugan,Secret Identity,Good Characters,Blue,Red,Living Characters,177,"1941, October",1941,DC
Celeste Cuckoo,Secret Identity,Good Characters,Blue,Blond,Living Characters,177,01-Nov,2001,Marvel
Daniel Cassidy,Secret Identity,Good Characters,Yellow,,Living Characters,176,"1984, June",1984,DC
James Harper Clone,Public Identity,Good Characters,Blue,Brown,Living Characters,176,"1971, January",1971,DC
Thomas Kalmaku,Public Identity,Good Characters,Brown,Black,Living Characters,176,"1960, October",1960,DC
Valentina Allegra de Fontaine,Secret Identity,Neutral Characters,Blue,Black,Living Characters,176,Aug-67,1967,Marvel
Gabrielle Doe,Secret Identity,Good Characters,Blue,Blond,Living Characters,175,"1983, July",1983,DC
Henry Hall,Secret Identity,Good Characters,Red,Brown,Living Characters,175,"1968, June",1968,DC
Ophelia Sarkissian,Secret Identity,Bad Characters,Green,Black,Living Characters,175,Feb-69,1969,Marvel
Colleen Wing,Public Identity,Good Characters,Blue,Auburn,Living Characters,175,Nov-74,1974,Marvel
Irma Cuckoo,Secret Identity,Good Characters,Blue,Black,Living Characters,175,01-Nov,2001,Marvel
Connor Hawke,Secret Identity,Good Characters,Green,Blond,Living Characters,174,"1994, October",1994,DC
Linda Park,Public Identity,,Brown,Black,Living Characters,174,"1989, July",1989,DC
Cyrus Gold,Secret Identity,Bad Characters,Black,White,Deceased Characters,174,"1944, October",1944,DC
Sebastian Shaw,No Dual Identity,Neutral Characters,Blue,Black,Living Characters,174,Jan-80,1980,Marvel
Phoebe Cuckoo,Secret Identity,Good Characters,Blue,Blond,Living Characters,174,01-Nov,2001,Marvel
Edward Nashton,Public Identity,Neutral Characters,Blue,Black,Living Characters,173,"1988, January",1988,DC
Arisia Rrab,Public Identity,Good Characters,Yellow,Blond,Living Characters,173,"1981, May",1981,DC
Sage,Secret Identity,Good Characters,Blue,Black,Living Characters,172,Apr-80,1980,Marvel
Robert Crane,Secret Identity,Good Characters,Red,,Living Characters,171,"1942, April",1942,DC
Joan Williams,Public Identity,,Blue,Grey,Living Characters,171,"1940, January",1940,DC
Valeria Richards,No Dual Identity,Good Characters,Blue,Blond,Living Characters,171,02-Feb,2002,Marvel
William Magnus,Public Identity,Good Characters,Blue,Brown,Living Characters,170,"1962, April",1962,DC
Donald Blake,No Dual Identity,Good Characters,Blue,Blond,Living Characters,170,Aug-62,1962,Marvel
Hela,Secret Identity,Bad Characters,Green,Black,Deceased Characters,170,Mar-64,1964,Marvel
Lilandra Neramani,No Dual Identity,Good Characters,Orange,Black,Deceased Characters,170,Feb-76,1976,Marvel
Henry Gyrich,No Dual Identity,Bad Characters,Green,Red,Living Characters,170,Nov-77,1977,Marvel
Dwayne Taylor,Secret Identity,Good Characters,Brown,Black,Deceased Characters,169,Dec-89,1989,Marvel
Mary Batson,Secret Identity,Good Characters,Blue,Brown,Living Characters,168,"1995, April",1995,DC
Jean Loring,Public Identity,Bad Characters,Green,Black,Deceased Characters,168,"1961, October",1961,DC
Oberon,Public Identity,,Blue,White,Living Characters,167,"1971, April",1971,DC
Grant Emerson,Public Identity,Good Characters,Blue,Black,Deceased Characters,166,"1994, April",1994,DC
Rita Farr,Secret Identity,Good Characters,Brown,Brown,Living Characters,166,"1963, June",1963,DC
Harold Hogan,No Dual Identity,Good Characters,Brown,Brown,Deceased Characters,166,Sep-63,1963,Marvel
Jason Rusch,Secret Identity,Good Characters,Brown,Black,Living Characters,165,"2004, July",2004,DC
Hector Hall,Secret Identity,Good Characters,Blue,White,Deceased Characters,165,"1983, September",1983,DC
Mercury,Secret Identity,Good Characters,Photocellular,,Living Characters,165,"1962, April",1962,DC
Redwing,Public Identity,,Yellow,,Living Characters,165,Sep-69,1969,Marvel
Christopher Powell,Secret Identity,Good Characters,Brown,Brown,Living Characters,165,Mar-91,1991,Marvel
Jaime Reyes,Secret Identity,Good Characters,Brown,Black,Living Characters,164,"2006, February",2006,DC
Platinum,Secret Identity,Good Characters,Photocellular,,Living Characters,164,"1962, April",1962,DC
Andre Chavard,Public Identity,Good Characters,,Brown,Living Characters,164,"1942, June",1942,DC
Daniel Leong,Secret Identity,Good Characters,Black,Black,Deceased Characters,164,"1942, February",1942,DC
Harvey Elder,Secret Identity,Bad Characters,Brown,Grey,Living Characters,164,Nov-61,1961,Marvel
Wolfgang von Strucker,Public Identity,Bad Characters,Blue,Bald,Deceased Characters,164,Jan-64,1964,Marvel
Dirk Garthwaite,Secret Identity,Bad Characters,Blue,Brown,Living Characters,164,Jan-68,1968,Marvel
Vril Dox II,Public Identity,Good Characters,Green,Blond,Living Characters,163,"1964, February",1964,DC
"Roy Raymond, Sr.",Public Identity,Good Characters,Blue,Brown,Living Characters,163,"1949, November",1949,DC
Pip Gofern,Secret Identity,Good Characters,Green,Red,Living Characters,163,Apr-75,1975,Marvel
Tony Masters,Secret Identity,Neutral Characters,Brown,Brown,Living Characters,163,May-80,1980,Marvel
David Lieberman,Secret Identity,Neutral Characters,Green,Brown,Deceased Characters,163,Nov-87,1987,Marvel
Uncle Sam,Secret Identity,,Blue,White,Living Characters,162,"1940, July",1940,DC
Metron,Secret Identity,Neutral Characters,Blue,Black,Deceased Characters,161,"1971, March",1971,DC
Iron,Secret Identity,Good Characters,Photocellular,,Living Characters,161,"1962, April",1962,DC
Lead,Secret Identity,Good Characters,Photocellular,,Living Characters,161,"1962, April",1962,DC
Lucas Carr,Public Identity,,Blue,Brown,Living Characters,161,"1960, March",1960,DC
James Hudson,Secret Identity,Good Characters,Brown,Black,Living Characters,161,Feb-78,1978,Marvel
Hartley Rathaway,Secret Identity,Good Characters,Blue,Red,Living Characters,160,"1959, May",1959,DC
Miles Warren,Secret Identity,Bad Characters,Green,No,Living Characters,160,Dec-65,1965,Marvel
Kallark,Public Identity,Neutral Characters,Blue,Blue,Living Characters,160,Oct-77,1977,Marvel
En Sabah Nur,Public Identity,Bad Characters,Red,Black,Deceased Characters,160,Jun-86,1986,Marvel
Lana Lang,Public Identity,Good Characters,Green,Red,Living Characters,159,"1986, October",1986,DC
Rose Wilson,Secret Identity,Good Characters,Blue,White,Living Characters,158,"1992, October",1992,DC
DeSaad,Public Identity,Bad Characters,Black,Black,Living Characters,158,"1971, May",1971,DC
Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black,Black,Living Characters,158,"1961, May",1961,DC
Shiro Yoshida,Public Identity,Good Characters,Black,Black,Living Characters,158,Jan-70,1970,Marvel
Silver Sablinova,Secret Identity,Good Characters,Blue,Silver,Deceased Characters,158,Jun-85,1985,Marvel
Elvin Haliday,Secret Identity,Good Characters,Brown,Bald,Living Characters,158,Nov-90,1990,Marvel
James Bradley,Secret Identity,Good Characters,Blue,Black,Living Characters,158,,,Marvel
Bane,Secret Identity,Bad Characters,Brown,Brown,Living Characters,157,"1993, January",1993,DC
Calvin Zabo,Secret Identity,Bad Characters,Brown,Brown,Living Characters,157,Dec-63,1963,Marvel
Frederick Myers,Secret Identity,Bad Characters,Brown,Brown,Living Characters,157,Jul-66,1966,Marvel
Mantis,Secret Identity,Good Characters,Green,Black,Living Characters,156,Jun-73,1973,Marvel
Marlene Alraune,No Dual Identity,Good Characters,Blue,Blond,Living Characters,156,Jun-76,1976,Marvel
Rachel Leighton,Secret Identity,Good Characters,Green,Brown,Living Characters,156,Oct-85,1985,Marvel
Veranke,No Dual Identity,Bad Characters,Green,Green,Deceased Characters,156,05-Jan,2005,Marvel
Salakk,Secret Identity,Good Characters,White,,Living Characters,155,"1982, February",1982,DC
Tin,Secret Identity,Good Characters,Photocellular,,Living Characters,155,"1962, April",1962,DC
Samuel Morgan,,Good Characters,,Red,Deceased Characters,155,"1937, March",1937,DC
Nathaniel Essex,Secret Identity,Bad Characters,Red,Black,Living Characters,155,Sep-87,1987,Marvel
Eve Eden,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,154,"1966, September",1966,DC
Harleen Quinzel,Public Identity,Bad Characters,Blue,Blond,Living Characters,153,"1999, October",1999,DC
Benjamin Turner,Secret Identity,Neutral Characters,Brown,Black,Living Characters,153,"1975, May",1975,DC
Anthony Druid,Public Identity,Good Characters,Green,Black,Deceased Characters,153,Jun-61,1961,Marvel
Cassandra Lang,Public Identity,Good Characters,Blue,Blond,Deceased Characters,153,Apr-79,1979,Marvel
Beta Ray Bill,No Dual Identity,Good Characters,White,No,Living Characters,153,Nov-83,1983,Marvel
Mark Mardon,Secret Identity,Bad Characters,Blue,Black,Living Characters,152,"1960, January",1960,DC
Teth-Adam,Secret Identity,Neutral Characters,Brown,Black,Living Characters,152,"1945, December",1945,DC
Samuel Sterns,Public Identity,Bad Characters,Red,Black,Deceased Characters,152,Dec-64,1964,Marvel
Leech,Secret Identity,Good Characters,White,No,Living Characters,152,Mar-84,1984,Marvel
Catherine Grant,Public Identity,Good Characters,Blue,Blond,Living Characters,151,"1987, January",1987,DC
Terrence Sloane,Secret Identity,Good Characters,Blue,Brown,Deceased Characters,151,"1942, January",1942,DC
Glenn Talbot,No Dual Identity,Neutral Characters,Blue,Brown,Deceased Characters,151,Nov-64,1964,Marvel
Bug,Public Identity,Good Characters,Yellow,Green,Living Characters,151,Jan-79,1979,Marvel
Peter Petruski,Secret Identity,Bad Characters,Brown,Bald,Living Characters,150,Jan-63,1963,Marvel
Julie Power,Secret Identity,Good Characters,Blue,Strawberry Blond,Living Characters,150,Aug-84,1984,Marvel
Giuletta Nefaria,Secret Identity,Bad Characters,Grey,Black,Living Characters,149,Jan-68,1968,Marvel
Jason Blood,Public Identity,Good Characters,Blue,Red,Living Characters,148,"1972, September",1972,DC
Robert Ralston,No Dual Identity,Good Characters,Blue,Blond,Deceased Characters,148,May-63,1963,Marvel
Gold,Secret Identity,Good Characters,Photocellular,,Living Characters,147,"1962, April",1962,DC
Maximus,Secret Identity,Neutral Characters,Blue,Black,Living Characters,147,Feb-66,1966,Marvel
Genis-Vell,Public Identity,Good Characters,Blue,Blond,Deceased Characters,147,Oct-93,1993,Marvel
Hisako Ichiki,Secret Identity,Good Characters,Black,Black,Living Characters,147,04-Oct,2004,Marvel
Dmitri Smerdyakov,Secret Identity,Bad Characters,Variable,Variable,Living Characters,146,Mar-63,1963,Marvel
Eliot Franklin (Thunderball),Public Identity,Bad Characters,Brown,Black,Living Characters,146,Nov-74,1974,Marvel
X-51,Known to Authorities Identity,Good Characters,Red,Black,Living Characters,146,Jul-77,1977,Marvel
Madelyne Pryor,Public Identity,Bad Characters,Green,Red,Living Characters,146,Apr-83,1983,Marvel
Adolf Hitler,No Dual Identity,Bad Characters,Brown,Brown,Deceased Characters,145,Sep-40,1940,Marvel
Herman Schultz,Public Identity,Bad Characters,Brown,Brown,Living Characters,145,Mar-67,1967,Marvel
Noriko Ashida,Secret Identity,Good Characters,Brown,Black,Living Characters,145,04-Jan,2004,Marvel
Chen Lu,Secret Identity,Bad Characters,Brown,Bald,Living Characters,144,Jun-63,1963,Marvel
Victor Fries,Secret Identity,Bad Characters,Blue,,Living Characters,143,"1959, February",1959,DC
Ulysses Klaw,Public Identity,Bad Characters,Red,Bald,Deceased Characters,143,Aug-66,1966,Marvel
Cessily Kincaid,Secret Identity,Good Characters,Silver,Red,Living Characters,143,03-Aug,2003,Marvel
Thomas Wayne,Public Identity,Good Characters,Brown,Brown,Deceased Characters,142,"1987, February",1987,DC
Arthur Light,Public Identity,Bad Characters,Black,Black,Deceased Characters,142,"1962, June",1962,DC
Lester Davis,Public Identity,Good Characters,,Black,Living Characters,142,"1957, February",1957,DC
Kyle Gibney,Secret Identity,Neutral Characters,Blue,Blond,Deceased Characters,142,Aug-83,1983,Marvel
Artemis of Bana-Mighdall,Public Identity,Good Characters,Green,Red,Living Characters,141,"1994, September",1994,DC
Alanna Strange,Public Identity,Good Characters,Blue,Black,Living Characters,141,"1958, December",1958,DC
Jack Monroe,Public Identity,Good Characters,Brown,Brown,Deceased Characters,141,Dec-53,1953,Marvel
Nuidis Vulko,Public Identity,Good Characters,Blue,White,Living Characters,140,"1967, September",1967,DC
Steven Dayton,Secret Identity,Good Characters,Blue,Brown,Living Characters,140,"1964, November",1964,DC
Madeline Joyce,Secret Identity,Good Characters,Blue,Brown,Deceased Characters,140,Nov-43,1943,Marvel
George Tarleton,Public Identity,Bad Characters,White,Brown,Living Characters,140,Sep-67,1967,Marvel
Jocasta,No Dual Identity,Good Characters,Red,No,Living Characters,140,Aug-77,1977,Marvel
Peter Wisdom,No Dual Identity,Good Characters,Blue,Black,Living Characters,140,Feb-95,1995,Marvel
Lee Travis,Secret Identity,Good Characters,Black,Black,Deceased Characters,139,"1938, October",1938,DC
Jeffrey Mace,Secret Identity,Good Characters,Blue,Black,Deceased Characters,139,Dec-40,1940,Marvel
Aquaria Neptunia,Secret Identity,Good Characters,Blue,Blond,Living Characters,139,May-47,1947,Marvel
Dragon Man,No Dual Identity,Good Characters,Grey,No,Living Characters,139,Feb-65,1965,Marvel
Martin Stein,Secret Identity,Good Characters,Brown,Grey,Deceased Characters,138,"1978, March",1978,DC
Solis,Secret Identity,,Blue,Strawberry Blond,Living Characters,138,"1971, March",1971,DC
Narya,Secret Identity,Good Characters,White,Blond,Living Characters,138,Apr-79,1979,Marvel
Alfred Twidgett,Public Identity,,,,Living Characters,137,"1942, June",1942,DC
Tubby Watts,,Good Characters,,Red,Living Characters,137,"1941, September",1941,DC
Burglar,Public Identity,Bad Characters,Blue,Blond,Deceased Characters,137,Aug-62,1962,Marvel
Dino Manelli,Public Identity,Good Characters,,Black,Deceased Characters,137,May-63,1963,Marvel
Peter Parker (Kaine),Secret Identity,Good Characters,Hazel,Brown,Living Characters,137,Dec-94,1994,Marvel
Unknown Soldier I,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,136,"1970, July",1970,DC
Giovanni Giuseppe,Secret Identity,Neutral Characters,Blue,Blond,Deceased Characters,136,"1960, July",1960,DC
Nightmare,Secret Identity,Bad Characters,Black,Black,Living Characters,136,Jul-63,1963,Marvel
Ronan,No Dual Identity,Neutral Characters,Blue,Brown,Living Characters,136,Aug-67,1967,Marvel
Thomas Halloway,Public Identity,Good Characters,Brown,White,Living Characters,135,Oct-39,1939,Marvel
Cynthia Reynolds,Secret Identity,Good Characters,Blue,Black,Living Characters,134,"1984, October",1984,DC
Victoria Vale,Public Identity,Good Characters,Blue,Red,Living Characters,134,"1948, October",1948,DC
Jasper Sitwell,Public Identity,Good Characters,Blue,Blond,Deceased Characters,134,May-66,1966,Marvel
Frank Payne,Secret Identity,Neutral Characters,,Bald,Living Characters,134,Jun-77,1977,Marvel
Paladin,Secret Identity,Neutral Characters,Brown,Brown,Living Characters,134,Jan-78,1978,Marvel
Steel,Public Identity,Good Characters,,White,Living Characters,134,,,Marvel
Lucius Fox,Public Identity,Good Characters,Brown,Black,Living Characters,133,"1979, January",1979,DC
Mad Thinker,Secret Identity,Bad Characters,Blue,Brown,Living Characters,133,Jun-63,1963,Marvel
Brian Calusky,Public Identity,Bad Characters,Blue,Blond,Living Characters,133,Nov-74,1974,Marvel
Arthur Maddicks,No Dual Identity,Good Characters,White,No,Living Characters,133,Mar-86,1986,Marvel
Ganthet,Public Identity,Good Characters,Green,White,Living Characters,132,1992,1992,DC
Izaya,Public Identity,Good Characters,Grey,White,Deceased Characters,132,"1971, March",1971,DC
Hedy Wolfe,No Dual Identity,,Hazel,Black,Living Characters,132,Nov-44,1944,Marvel
Isadore Cohen,Public Identity,Good Characters,,,Living Characters,132,May-63,1963,Marvel
Dormammu,No Dual Identity,Bad Characters,Yellow,No,Living Characters,132,Nov-64,1964,Marvel
Barbara Ann Minerva,Public Identity,,Brown,,Living Characters,131,"1987, August",1987,DC
Rory Regan,Secret Identity,Good Characters,Blue,Brown,Living Characters,131,"1976, September",1976,DC
Eclipso,Secret Identity,Bad Characters,Red,Black,Living Characters,131,"1963, July",1963,DC
Mick Rory,Public Identity,,Blue,,Living Characters,131,"1963, November",1963,DC
Kyle Morgan,Public Identity,Good Characters,Brown,Blond,Living Characters,131,"1957, February",1957,DC
Matthew Ryan,Public Identity,Good Characters,Blue,Red,Living Characters,131,"1957, February",1957,DC
Dinah Drake,Secret Identity,Good Characters,Blue,Black,Deceased Characters,131,"1947, August",1947,DC
Makkari,Secret Identity,Good Characters,Blue,Strawberry Blond,Living Characters,131,Aug-40,1940,Marvel
Marlo Chandler,Public Identity,Good Characters,Blue,Red,Living Characters,131,Sep-88,1988,Marvel
Robert Langstrom,Secret Identity,Neutral Characters,Brown,Brown,Living Characters,130,"1970, June",1970,DC
Sargent Steel,Public Identity,Good Characters,Blue,Brown,Living Characters,130,"1964, December",1964,DC
Victory,,Good Characters,Black,White,Living Characters,130,"1941, September",1941,DC
Percival Pinkerton,Public Identity,Good Characters,Brown,Grey,Deceased Characters,130,Jul-64,1964,Marvel
Quintavius Quire,Public Identity,Good Characters,Brown,Brown,Living Characters,130,03-Jan,2003,Marvel
Katma Tui,Public Identity,Good Characters,,Black,Deceased Characters,129,"1964, July",1964,DC
Walter Haley,Public Identity,Good Characters,Brown,Brown,Living Characters,129,"1957, February",1957,DC
Marla Madison,No Dual Identity,,Brown,Brown,Deceased Characters,129,Nov-76,1976,Marvel
Cletus Kasady,Public Identity,Bad Characters,Green,No,Living Characters,129,Feb-91,1991,Marvel
Charles Victor Szasz,Secret Identity,Good Characters,Blue,Strawberry Blond,Deceased Characters,128,"1967, June",1967,DC
Supreme Intelligence,No Dual Identity,Neutral Characters,Yellow,Green,Living Characters,128,Aug-67,1967,Marvel
Aragorn,No Dual Identity,Good Characters,Brown,White,Living Characters,128,Jan-68,1968,Marvel
Ares,Public Identity,Bad Characters,Red,Blond,Living Characters,127,"1987, February",1987,DC
Rip Carter,Public Identity,Good Characters,,Black,Living Characters,127,"1942, June",1942,DC
Betty Dean,No Dual Identity,Good Characters,Blue,White,Deceased Characters,127,Jan-40,1940,Marvel
Karnilla,Secret Identity,Neutral Characters,Purple,Black,Living Characters,127,Aug-64,1964,Marvel
Jacqueline Falsworth,Public Identity,Good Characters,Blue,Blond,Living Characters,127,Jul-76,1976,Marvel
Caliban,Secret Identity,Good Characters,Black,No,Deceased Characters,127,Aug-81,1981,Marvel
Isaac Christians,Public Identity,Good Characters,Blue,Black,Living Characters,127,Apr-81,1981,Marvel
Eradicator,Public Identity,Good Characters,Photocellular,Black,Deceased Characters,126,"1989, May",1989,DC
Emil Hamilton,Public Identity,Bad Characters,Hazel,Grey,Living Characters,126,"1987, January",1987,DC
